protocol,default,fine,very_fine,material_refinement,edge_refinement,fine_edge_refinement,edge_voxel_refinement,edge_single_material_refinement,edge_double_material_refinement,very_fine_edge_refinement,fine_edge_single_material_refinement,fine_edge_double_material_refinement,hp_refinement,hp_material_refinement,hp_double_material_refinement,fine_hp_material_refinement,best
0,45.578125,46.09375,46.5625,46.78125,46.0,45.9375,45.890625,46.1875,46.640625,46.265625,46.3125,46.671875,46.3125,46.21875,46.421875,46.71875,46.734375
1,142.390625,142.734375,143.75,143.703125,143.0625,141.65625,142.609375,142.78125,143.578125,143.921875,143.46875,143.96875,143.1875,142.796875,143.53125,143.65625,143.75
2,262.15625,263.03125,263.90625,264.59375,262.8125,260.6875,262.96875,263.59375,263.609375,262.71875,264.25,264.703125,263.515625,264.703125,264.984375,264.65625,263.953125
3,44.5,45.0,45.078125,45.203125,44.59375,45.109375,45.09375,45.328125,45.390625,45.359375,45.328125,45.328125,45.609375,45.59375,45.8125,45.53125,45.65625
4,141.609375,142.296875,142.3125,142.3125,141.625,141.40625,141.8125,142.0625,142.140625,142.671875,142.390625,142.5,142.65625,143.3125,143.015625,142.5625,142.5
5,268.609375,269.46875,270.421875,270.625,270.09375,270.625,270.28125,270.1875,270.65625,271.578125,269.96875,270.40625,269.765625,269.875,270.1875,270.71875,270.4375
6,46.40625,47.21875,47.484375,47.515625,47.109375,47.5625,47.75,47.640625,47.6875,47.65625,47.765625,47.78125,47.625,47.609375,47.859375,47.71875,47.75
7,145.3125,146.0,146.5625,146.78125,146.484375,147.109375,147.25,147.09375,147.125,146.109375,146.796875,147.015625,146.53125,147.0625,146.765625,146.78125,146.921875
8,269.875,271.6875,272.796875,273.078125,270.984375,270.1875,270.625,272.203125,273.265625,271.515625,271.953125,272.3125,271.203125,271.078125,272.453125,272.671875,272.90625
9,46.234375,46.5625,47.140625,47.15625,46.640625,46.96875,47.09375,47.015625,47.078125,47.140625,47.140625,47.25,47.546875,47.640625,47.59375,47.28125,47.296875
10,145.3125,146.1875,146.6875,146.6875,145.34375,145.953125,145.859375,146.125,146.234375,146.515625,146.8125,146.875,146.0625,146.25,146.515625,147.171875,146.828125
11,272.1875,274.109375,275.046875,275.296875,274.1875,275.046875,275.4375,275.765625,276.015625,275.015625,275.5,275.9375,274.515625,275.625,275.28125,275.078125,275.40625
12,46.1875,47.453125,47.953125,48.03125,47.578125,47.78125,48.1875,47.84375,47.953125,48.09375,48.171875,48.28125,47.546875,47.5625,47.609375,48.359375,48.3125
13,148.765625,150.390625,150.890625,151.03125,150.125,150.96875,150.84375,150.671875,150.71875,150.296875,150.921875,151.21875,149.625,149.6875,149.921875,151.0,150.53125
14,274.921875,278.3125,278.390625,278.625,277.28125,277.65625,279.015625,278.59375,279.171875,278.34375,278.265625,278.3125,275.5625,275.5625,274.9375,279.109375,278.734375
15,47.078125,47.734375,48.140625,48.15625,47.265625,47.890625,48.015625,47.984375,48.046875,48.3125,48.328125,48.390625,48.5,48.515625,48.4375,48.671875,48.21875
16,151.4375,152.078125,152.5,152.59375,153.015625,153.25,152.640625,153.296875,152.984375,153.046875,153.046875,152.734375,152.859375,153.5625,153.109375,152.96875,152.609375
17,282.125,282.25,283.0625,283.46875,279.546875,281.328125,280.46875,282.3125,283.21875,281.84375,282.640625,283.296875,283.9375,283.90625,284.796875,282.953125,283.390625
18,46.546875,47.28125,47.84375,47.890625,47.609375,47.34375,47.96875,47.40625,47.421875,47.828125,47.90625,47.921875,47.875,47.90625,47.9375,47.984375,48.265625
19,151.296875,152.0625,152.140625,152.265625,152.828125,152.359375,151.921875,152.546875,152.640625,152.078125,152.375,152.546875,152.546875,152.640625,152.8125,152.890625,152.296875
20,281.53125,282.546875,282.828125,283.046875,281.109375,283.21875,284.578125,283.359375,283.625,283.34375,283.890625,284.140625,282.515625,283.0,283.1875,283.359375,283.25
21,49.46875,50.203125,50.65625,50.734375,50.0625,50.453125,50.328125,50.609375,50.640625,50.546875,50.8125,50.875,50.28125,50.328125,50.453125,50.75,50.8125
22,153.359375,154.5625,154.71875,154.84375,154.4375,154.140625,154.65625,154.71875,154.828125,154.5,155.0,154.953125,154.484375,154.6875,154.734375,155.1875,154.90625
23,284.0625,285.34375,286.1875,286.390625,281.671875,285.640625,284.28125,286.734375,287.0,284.703125,285.890625,286.296875,285.203125,286.15625,286.390625,286.828125,286.09375
24,45.578125,46.09375,46.5625,46.78125,46.0,45.9375,45.890625,46.1875,46.640625,46.265625,46.3125,46.671875,46.3125,46.21875,46.421875,46.71875,46.734375
25,142.390625,142.734375,143.75,143.703125,143.0625,141.65625,142.609375,142.78125,143.578125,143.921875,143.46875,143.96875,143.1875,142.796875,143.53125,143.65625,143.75
26,262.15625,263.03125,263.90625,264.59375,262.8125,260.6875,262.96875,263.59375,263.609375,262.71875,264.25,264.703125,263.515625,264.703125,264.984375,264.65625,263.953125
27,44.5,45.0,45.078125,45.203125,44.59375,45.109375,45.09375,45.328125,45.390625,45.359375,45.328125,45.328125,45.609375,45.59375,45.8125,45.53125,45.65625
28,141.609375,142.296875,142.3125,142.3125,141.625,141.40625,141.8125,142.0625,142.140625,142.671875,142.390625,142.5,142.65625,143.3125,143.015625,142.5625,142.5
29,268.609375,269.46875,270.421875,270.625,270.09375,270.625,270.28125,270.1875,270.65625,271.578125,269.96875,270.40625,269.765625,269.875,270.1875,270.71875,270.4375
30,46.40625,47.21875,47.484375,47.515625,47.109375,47.5625,47.75,47.640625,47.6875,47.65625,47.765625,47.78125,47.625,47.609375,47.859375,47.71875,47.75
31,145.3125,146.0,146.5625,146.78125,146.484375,147.109375,147.25,147.09375,147.125,146.109375,146.796875,147.015625,146.53125,147.0625,146.765625,146.78125,146.921875
32,269.875,271.6875,272.796875,273.078125,270.984375,270.1875,270.625,272.203125,273.265625,271.515625,271.953125,272.3125,271.203125,271.078125,272.453125,272.671875,272.90625
33,46.234375,46.5625,47.140625,47.15625,46.640625,46.96875,47.09375,47.015625,47.078125,47.140625,47.140625,47.25,47.546875,47.640625,47.59375,47.28125,47.296875
34,145.3125,146.1875,146.6875,146.6875,145.34375,145.953125,145.859375,146.125,146.234375,146.515625,146.8125,146.875,146.0625,146.25,146.515625,147.171875,146.828125
35,272.1875,274.109375,275.046875,275.296875,274.1875,275.046875,275.4375,275.765625,276.015625,275.015625,275.5,275.9375,274.515625,275.625,275.28125,275.078125,275.40625
36,46.1875,47.453125,47.953125,48.03125,47.578125,47.78125,48.1875,47.84375,47.953125,48.09375,48.171875,48.28125,47.546875,47.5625,47.609375,48.359375,48.3125
37,148.765625,150.390625,150.890625,151.03125,150.125,150.96875,150.84375,150.671875,150.71875,150.296875,150.921875,151.21875,149.625,149.6875,149.921875,151.0,150.53125
38,274.921875,278.3125,278.390625,278.625,277.28125,277.65625,279.015625,278.59375,279.171875,278.34375,278.265625,278.3125,275.5625,275.5625,274.9375,279.109375,278.734375
39,47.078125,47.734375,48.140625,48.15625,47.265625,47.890625,48.015625,47.984375,48.046875,48.3125,48.328125,48.390625,48.5,48.515625,48.4375,48.671875,48.21875
40,151.4375,152.078125,152.5,152.59375,153.015625,153.25,152.640625,153.296875,152.984375,153.046875,153.046875,152.734375,152.859375,153.5625,153.109375,152.96875,152.609375
41,282.125,282.25,283.0625,283.46875,279.546875,281.328125,280.46875,282.3125,283.21875,281.84375,282.640625,283.296875,283.9375,283.90625,284.796875,282.953125,283.390625
42,46.546875,47.28125,47.84375,47.890625,47.609375,47.34375,47.96875,47.40625,47.421875,47.828125,47.90625,47.921875,47.875,47.90625,47.9375,47.984375,48.265625
43,151.296875,152.0625,152.140625,152.265625,152.828125,152.359375,151.921875,152.546875,152.640625,152.078125,152.375,152.546875,152.546875,152.640625,152.8125,152.890625,152.296875
44,281.53125,282.546875,282.828125,283.046875,281.109375,283.21875,284.578125,283.359375,283.625,283.34375,283.890625,284.140625,282.515625,283.0,283.1875,283.359375,283.25
45,49.46875,50.203125,50.65625,50.734375,50.0625,50.453125,50.328125,50.609375,50.640625,50.546875,50.8125,50.875,50.28125,50.328125,50.453125,50.75,50.8125
46,153.359375,154.5625,154.71875,154.84375,154.4375,154.140625,154.65625,154.71875,154.828125,154.5,155.0,154.953125,154.484375,154.6875,154.734375,155.1875,154.90625
47,284.0625,285.34375,286.1875,286.390625,281.671875,285.640625,284.28125,286.734375,287.0,284.703125,285.890625,286.296875,285.203125,286.15625,286.390625,286.828125,286.09375
48,468.671875,464.296875,465.125,465.625,460.1875,461.0,457.78125,464.921875,465.796875,461.265625,463.28125,464.625,464.578125,464.28125,464.859375,464.4375,465.390625
49,153.96875,157.703125,160.96875,161.015625,158.53125,161.015625,161.75,161.328125,161.390625,161.421875,161.84375,162.296875,162.578125,162.875,163.28125,162.859375,162.96875
50,924.34375,926.1875,928.734375,929.3125,927.046875,927.015625,924.25,929.328125,928.421875,926.203125,927.265625,928.875,924.828125,924.578125,926.84375,930.09375,929.390625
51,69.453125,70.796875,71.953125,72.046875,70.734375,72.21875,72.390625,72.390625,72.4375,72.1875,72.390625,72.53125,72.921875,72.9375,73.03125,72.984375,73.0
